timestamp,symbol,price_qty_buy,price_qty_sell,price_qty_buy_diff,price_qty_sell_diff,alpha1,alpha2,alpha3,mid,bid,bid_amt,ask,ask_amt,ret_5,ret_10,ret_20,ret_100,ret_200
0,AMETHYSTS,10002,20008,10002,20008,3000.6,6002.4,-4002.4,10003.0,10002,1,10004,-2,-0.00044986504048785366,-0.00029991002699190244,-0.0005998200539838049,-0.00029991002699190244,-0.00044986504048785366
100,AMETHYSTS,19992,20008,9990,0,5097.42,4201.679999999999,1594.56,10000.0,9996,2,10004,-2,0.00025,0.0,-0.0001,-0.0001,0.0003
200,AMETHYSTS,199900,200100,179908,180092,57540.594000000005,56968.776,883.1359999999999,10000.0,9995,20,10005,-20,0.0,-0.00035,0.0001,0.0,-0.00035
300,AMETHYSTS,19992,20008,-179908,-180092,-13693.9842,-14149.4568,603.4816,10000.0,9996,2,10004,-2,0.0,0.0003,0.0001,0.00015,0.0
400,AMETHYSTS,19992,20008,0,0,-9585.78894,-9904.61976,362.08896,10000.0,9996,2,10004,-2,0.0,0.0,0.0,0.0003,-0.0002
500,AMETHYSTS,299850,40008,279858,20000,77247.347742,-933.233831999999,104160.453376,9998.5,9995,30,10002,-4,0.00015002250337550632,0.00015002250337550632,0.00015002250337550632,0.00025003750562584387,0.00035005250787618143
600,AMETHYSTS,50000,250125,-249850,210117,-20881.856580600004,62381.8363176,-121490.5279744,10002.5,10000,5,10005,-25,-0.00024993751562109475,-0.00024993751562109475,-0.00024993751562109475,-0.0004498875281179705,-0.00024993751562109475
700,AMETHYSTS,229885,230115,179885,-20010,39348.20039358,37664.28542232,7063.683215359997,10000.0,9995,23,10005,-23,-0.00035,-0.0001,0.00015,0.00015,0.00035
800,AMETHYSTS,9996,10004,-219889,-220111,-38422.959724494,-39668.300204376006,4327.009929215998,10000.0,9996,1,10004,-1,0.0003,0.0003,0.0,0.0001,0.0
900,AMETHYSTS,9996,10004,0,0,-26896.0718071458,-27767.8101430632,2596.205957529599,10000.0,9996,1,10004,-1,0.0,0.0,0.0,0.0,0.0
1000,AMETHYSTS,259870,260130,249874,250126,56134.94973499794,55600.33289985576,1456.923574517759,10000.0,9995,26,10005,-26,0.0,-0.0003,0.00015,-0.00015,0.0
1100,AMETHYSTS,19992,20008,-239878,-240122,-32668.93518550144,-33116.36697010096,971.7541447106556,10000.0,9996,2,10004,-2,0.0,-0.0001,0.0,0.00015,0.0
1200,AMETHYSTS,209895,9998,189903,-10010,34102.645370148995,-26184.45687907067,80548.2524868264,9996.5,9995,21,9998,-1,0.0002500875306357225,0.0004501575551443005,0.0003501225428900115,0.0002500875306357225,0.0
1300,AMETHYSTS,10002,10004,-199893,6,-36096.0482408957,-18327.319815349467,-31630.648507904167,10003.0,10002,1,10004,-1,0.0,-0.00019994001799460162,-0.00029991002699190244,-0.00029991002699190244,-0.00039988003598920324
1400,AMETHYSTS,9996,10004,-6,0,-25269.03376862699,-12829.123870744626,-18980.7891047425,10000.0,9996,1,10004,-1,0.0,0.0,0.0,0.0,0.0
1500,AMETHYSTS,269865,270135,259869,260131,60272.37636196111,69058.91329047877,-11493.273462845498,10000.0,9995,27,10005,-27,-0.0003,0.0,0.0,-0.0001,0.0
1600,AMETHYSTS,289855,290145,19990,20010,48187.66345337277,54344.23930333513,-6903.964077707299,10000.0,9995,29,10005,-29,-0.0001,0.0,-0.00035,-0.0001,0.0003
1700,AMETHYSTS,19992,10002,-269863,-280143,-47227.53558263906,-46001.93248766541,-30.37844662437965,9999.0,9996,2,10002,-1,0.00020002000200020003,0.00025002500250025,0.00040004000400040005,0.00010001000100010001,0.00020002000200020003
1800,AMETHYSTS,10002,10004,-9990,2,-36056.27490784734,-32200.752741365784,-4015.027067974628,10003.0,10002,1,10004,-1,-0.00019994001799460162,-0.00029991002699190244,-0.00039988003598920324,-0.00039988003598920324,-0.00029991002699190244
