timestamp,symbol,alpha,mid,bid,bid_amt,ask,ask_amt,ret_5,ret_10,ret_20,ret_100,ret_200
0,AMETHYSTS,69,10003.0,10002,1,10004,-2,-0.00044986504048785366,-0.00029991002699190244,-0.0005998200539838049,-0.00029991002699190244,-0.00044986504048785366
100,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.00025,0.0,-0.0001,-0.0001,0.0003
200,AMETHYSTS,69,10000.0,9995,20,10005,-20,0.0,-0.00035,0.0001,0.0,-0.00035
300,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,0.0003,0.0001,0.00015,0.0
400,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,0.0,0.0,0.0003,-0.0002
500,AMETHYSTS,69,9998.5,9995,30,10002,-4,0.00015002250337550632,0.00015002250337550632,0.00015002250337550632,0.00025003750562584387,0.00035005250787618143
600,AMETHYSTS,69,10002.5,10000,5,10005,-25,-0.00024993751562109475,-0.00024993751562109475,-0.00024993751562109475,-0.0004498875281179705,-0.00024993751562109475
700,AMETHYSTS,69,10000.0,9995,23,10005,-23,-0.00035,-0.0001,0.00015,0.00015,0.00035
800,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0003,0.0003,0.0,0.0001,0.0
900,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0,0.0,0.0
1000,AMETHYSTS,69,10000.0,9995,26,10005,-26,0.0,-0.0003,0.00015,-0.00015,0.0
1100,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,-0.0001,0.0,0.00015,0.0
1200,AMETHYSTS,69,9996.5,9995,21,9998,-1,0.0002500875306357225,0.0004501575551443005,0.0003501225428900115,0.0002500875306357225,0.0
1300,AMETHYSTS,69,10003.0,10002,1,10004,-1,0.0,-0.00019994001799460162,-0.00029991002699190244,-0.00029991002699190244,-0.00039988003598920324
1400,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0,0.0,0.0
1500,AMETHYSTS,69,10000.0,9995,27,10005,-27,-0.0003,0.0,0.0,-0.0001,0.0
1600,AMETHYSTS,69,10000.0,9995,29,10005,-29,-0.0001,0.0,-0.00035,-0.0001,0.0003
1700,AMETHYSTS,69,9999.0,9996,2,10002,-1,0.00020002000200020003,0.00025002500250025,0.00040004000400040005,0.00010001000100010001,0.00020002000200020003
1800,AMETHYSTS,69,10003.0,10002,1,10004,-1,-0.00019994001799460162,-0.00029991002699190244,-0.00039988003598920324,-0.00039988003598920324,-0.00029991002699190244
1900,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0001,0.0,0.0003
2000,AMETHYSTS,69,9997.0,9996,2,9998,-1,0.00030009002700810244,0.00045013504051215364,0.00030009002700810244,0.0006501950585175553,0.00030009002700810244
2100,AMETHYSTS,69,9999.0,9996,2,10002,-3,0.00010001000100010001,0.00010001000100010001,0.00010001000100010001,0.00010001000100010001,0.0
2200,AMETHYSTS,69,10001.0,9998,8,10004,-1,4.999500049995001e-05,-9.999000099990002e-05,-0.00019998000199980003,-9.999000099990002e-05,0.0
2300,AMETHYSTS,69,10001.0,9998,7,10004,-2,-9.999000099990002e-05,-9.999000099990002e-05,-0.00044995500449955,0.0,-9.999000099990002e-05
2400,AMETHYSTS,69,10000.0,9995,29,10005,-29,0.0,0.0,0.0,0.0,-0.0003
2500,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.00015,0.0,-0.0001,0.0,0.0
2600,AMETHYSTS,69,10000.0,9995,23,10005,-23,0.0,-0.00035,-0.0001,0.0,0.0002
2700,AMETHYSTS,69,10001.5,9998,6,10005,-26,-0.00014997750337449384,0.00014997750337449384,-0.00014997750337449384,-0.00014997750337449384,-0.00014997750337449384
2800,AMETHYSTS,69,10000.0,9995,25,10005,-25,0.0,-0.0001,0.0001,0.0,-0.0003
2900,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0001,-0.00015,-0.0001,-0.0001
3000,AMETHYSTS,69,10001.5,9998,1,10005,-26,-0.00014997750337449384,-0.00014997750337449384,-4.999250112483127e-05,0.0001999700044993251,-0.00014997750337449384
3100,AMETHYSTS,69,10000.0,9996,2,10004,-2,-0.00035,0.0,0.0,0.0,0.00015
3200,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0003,-0.0001,0.0001,0.00015,0.0001
3300,AMETHYSTS,69,10000.0,9996,2,10004,-2,-0.0001,-0.00035,0.0,0.0,0.0
3400,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0001,0.0,0.0,0.0,0.0
3500,AMETHYSTS,69,10000.0,9995,26,10005,-26,0.0,-0.0001,0.0,0.0,0.0001
3600,AMETHYSTS,69,9996.5,9995,21,9998,-4,0.0003501225428900115,0.0002500875306357225,0.0003501225428900115,0.000200070024508578,0.0003501225428900115
3700,AMETHYSTS,69,10003.0,10002,1,10004,-1,-0.00039988003598920324,-0.00029991002699190244,-0.00014995501349595122,-0.0005998200539838049,0.0
3800,AMETHYSTS,69,9999.0,9996,2,10002,-10,-0.00025002500250025,0.00020002000200020003,0.00010001000100010001,0.00010001000100010001,0.00010001000100010001
3900,AMETHYSTS,69,10001.0,9998,1,10004,-1,-9.999000099990002e-05,-0.00024997500249975,-9.999000099990002e-05,-0.00029997000299970003,-9.999000099990002e-05
4000,AMETHYSTS,69,10000.0,9996,2,10004,-2,-0.0001,0.0001,0.0,0.0001,0.00015
4100,AMETHYSTS,69,10000.0,9996,2,10004,-2,-0.0001,0.0,0.0,0.0,0.0
4200,AMETHYSTS,69,9999.0,9996,2,10002,-4,0.00010001000100010001,0.00020002000200020003,0.00010001000100010001,0.00010001000100010001,0.0
4300,AMETHYSTS,69,9996.5,9995,22,9998,-1,0.0004501575551443005,0.0003501225428900115,0.0003501225428900115,0.0003501225428900115,0.0002500875306357225
4400,AMETHYSTS,69,10000.0,9995,30,10005,-30,-0.00015,0.0,0.0,0.0,0.0003
4500,AMETHYSTS,69,9999.0,9996,1,10002,-10,0.00020002000200020003,0.00010001000100010001,-0.00020002000200020003,-5.000500050005001e-05,0.00040004000400040005
4600,AMETHYSTS,69,9999.0,9996,1,10002,-10,0.00010001000100010001,0.00010001000100010001,0.00010001000100010001,-0.00010001000100010001,-0.00025002500250025
4700,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0001,0.00015,-0.00015,-0.00015,0.0
4800,AMETHYSTS,69,10001.0,9998,6,10004,-2,-9.999000099990002e-05,-9.999000099990002e-05,-9.999000099990002e-05,-0.00024997500249975,-9.999000099990002e-05
4900,AMETHYSTS,69,9998.5,9995,22,10002,-7,0.00015002250337550632,0.00015002250337550632,5.000750112516878e-05,0.0004000600090013502,0.000450067510126519
5000,AMETHYSTS,69,10001.0,9998,3,10004,-2,-9.999000099990002e-05,-9.999000099990002e-05,4.999500049995001e-05,4.999500049995001e-05,-9.999000099990002e-05
5100,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0,0.0,0.00035
5200,AMETHYSTS,69,10001.0,9998,9,10004,-1,4.999500049995001e-05,-9.999000099990002e-05,0.0,4.999500049995001e-05,-0.00039996000399960006
5300,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0003,-0.00015,0.0
5400,AMETHYSTS,69,10000.0,9995,21,10005,-21,0.0,0.0,0.0,-0.0003,0.0
5500,AMETHYSTS,69,10000.0,9995,27,10005,-27,0.0,-0.0003,-0.00015,0.0003,-0.0003
5600,AMETHYSTS,69,10000.0,9995,28,10005,-28,0.0,0.0,0.0,0.0,-0.0001
5700,AMETHYSTS,69,10001.5,9998,2,10005,-27,-0.00014997750337449384,-0.0002999550067489877,-0.00014997750337449384,0.00014997750337449384,-0.00014997750337449384
5800,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0001,0.0001,0.00035
5900,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,-0.0001,0.0,-0.0002,0.0
6000,AMETHYSTS,69,10000.0,9995,30,10005,-30,-0.0003,0.00015,0.0,-0.0001,0.0
6100,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0,-0.00025,0.00015
6200,AMETHYSTS,69,10000.0,9996,1,10004,-1,-0.00015,0.0001,0.0,-0.00035,0.0
6300,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,0.0003,0.0,0.0,-0.0003
6400,AMETHYSTS,69,10000.0,9996,1,10004,-1,-0.0001,0.0,0.0,-0.0001,0.0
6500,AMETHYSTS,69,9997.0,9996,1,9998,-1,0.00045013504051215364,0.00015004501350405122,0.00040012003601080324,0.00020006001800540162,0.00030009002700810244
6600,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,0.0,0.0,0.0001,-0.0003
6700,AMETHYSTS,69,9998.5,9995,20,10002,-3,0.00025003750562584387,0.00015002250337550632,0.00030004500675101265,0.0005000750112516877,0.00025003750562584387
6800,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0003,0.0001,-0.00035,0.0,0.0
6900,AMETHYSTS,69,9999.0,9996,1,10002,-5,0.00010001000100010001,0.00010001000100010001,0.00025002500250025,0.00010001000100010001,0.00045004500450045
7000,AMETHYSTS,69,10001.5,9998,2,10005,-27,-0.0002999550067489877,-0.00014997750337449384,-0.00014997750337449384,0.0,-0.0002999550067489877
7100,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0001,0.0,0.0
7200,AMETHYSTS,69,10001.0,9998,5,10004,-1,-9.999000099990002e-05,-9.999000099990002e-05,4.999500049995001e-05,0.0,4.999500049995001e-05
7300,AMETHYSTS,69,10003.0,10002,1,10004,-2,-0.00019994001799460162,-0.00029991002699190244,-0.00029991002699190244,-0.00039988003598920324,-0.00029991002699190244
7400,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,0.0001,0.00025,0.0
7500,AMETHYSTS,69,9998.5,9995,25,10002,-10,0.00015002250337550632,0.00025003750562584387,0.00015002250337550632,0.00015002250337550632,0.00015002250337550632
7600,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,0.0,0.0,0.00015,0.00015
7700,AMETHYSTS,69,10000.0,9995,22,10005,-22,0.0,0.00015,-0.00015,0.0,0.0
7800,AMETHYSTS,69,10001.0,9998,3,10004,-1,-9.999000099990002e-05,-0.00044995500449955,-9.999000099990002e-05,-0.00019998000199980003,0.0
7900,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.00015,0.0,0.0,-0.0001
8000,AMETHYSTS,69,10000.0,9995,27,10005,-27,0.0001,0.0,0.0,0.0,0.00015
8100,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0001,-0.0001,0.0,0.0
8200,AMETHYSTS,69,10000.0,9995,23,10005,-23,0.00015,0.00015,0.0,0.0,-0.0003
8300,AMETHYSTS,69,10000.0,9996,1,10004,-1,-0.00035,0.0,0.00015,0.0,0.0
8400,AMETHYSTS,69,10000.0,9995,28,10005,-28,0.00015,0.0001,0.0003,0.0,0.0
8500,AMETHYSTS,69,10001.0,9998,10,10004,-2,-9.999000099990002e-05,-9.999000099990002e-05,0.0,-0.00034996500349965005,4.999500049995001e-05
8600,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0001,0.0,-0.0002,0.00035,0.0003
8700,AMETHYSTS,69,10001.5,9998,10,10005,-27,0.0,-0.0002999550067489877,0.0,-0.00014997750337449384,-0.00014997750337449384
8800,AMETHYSTS,69,9996.5,9995,25,9998,-1,0.0003501225428900115,0.0003501225428900115,0.0004501575551443005,0.0003501225428900115,0.0003501225428900115
8900,AMETHYSTS,69,10001.5,9998,9,10005,-26,-4.999250112483127e-05,-0.00014997750337449384,-0.00014997750337449384,0.0,-4.999250112483127e-05
9000,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.0,0.0,-0.00015,0.0,0.0
9100,AMETHYSTS,69,10001.0,9998,3,10004,-2,-9.999000099990002e-05,-0.00019998000199980003,4.999500049995001e-05,-9.999000099990002e-05,-9.999000099990002e-05
9200,AMETHYSTS,69,10001.5,9998,10,10005,-27,-0.0002999550067489877,-0.00014997750337449384,-0.00024996250562415637,-0.0004499325101234815,-0.00014997750337449384
9300,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.00015,0.0,0.0,-0.0001
9400,AMETHYSTS,69,10001.0,9998,2,10004,-2,-9.999000099990002e-05,0.00019998000199980003,-9.999000099990002e-05,-9.999000099990002e-05,0.00019998000199980003
9500,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0001,-0.0001,0.0,0.0
9600,AMETHYSTS,69,10000.0,9996,1,10004,-1,-0.0001,-0.0002,-0.0001,0.0,0.0
9700,AMETHYSTS,69,9998.5,9995,22,10002,-1,0.00015002250337550632,0.00030004500675101265,0.00015002250337550632,0.000450067510126519,5.000750112516878e-05
9800,AMETHYSTS,69,10000.0,9995,26,10005,-26,0.00015,0.0001,-0.0001,0.0,0.0001
9900,AMETHYSTS,69,10000.0,9995,25,10005,-25,0.0003,0.0,0.0,0.0,0.0
10000,AMETHYSTS,69,10000.0,9995,28,10005,-28,0.0001,-0.00015,0.00035,-0.00015,0.0001
10100,AMETHYSTS,69,9999.0,9996,1,10002,-3,-0.00010001000100010001,0.00025002500250025,0.00010001000100010001,0.00040004000400040005,0.00010001000100010001
10200,AMETHYSTS,69,10000.0,9996,2,10004,-2,0.00015,-0.0001,0.0,-0.00035,0.0
10300,AMETHYSTS,69,10001.5,9998,4,10005,-27,-4.999250112483127e-05,-0.00014997750337449384,-4.999250112483127e-05,-0.00014997750337449384,-0.00024996250562415637
10400,AMETHYSTS,69,10003.0,10002,1,10004,-1,-0.00029991002699190244,-0.00029991002699190244,-0.00029991002699190244,-0.000499850044986504,-0.00019994001799460162
10500,AMETHYSTS,69,10001.0,9998,4,10004,-2,-0.00024997500249975,-0.00019998000199980003,-9.999000099990002e-05,9.999000099990002e-05,0.0
10600,AMETHYSTS,69,9998.0,9996,2,10000,-4,0.00035007001400280056,0.00010002000400080016,0.00020004000800160032,0.00020004000800160032,0.00010002000400080016
10700,AMETHYSTS,69,10001.5,9998,8,10005,-28,-0.00024996250562415637,-0.00014997750337449384,-0.00014997750337449384,0.0001999700044993251,-0.00014997750337449384
10800,AMETHYSTS,69,10001.0,9998,5,10004,-2,-9.999000099990002e-05,-0.00019998000199980003,-9.999000099990002e-05,-9.999000099990002e-05,-9.999000099990002e-05
10900,AMETHYSTS,69,10000.0,9996,1,10004,-1,0.0,0.0,-0.0001,0.0,-0.0001
11000,AMETHYSTS,69,9998.5,9995,24,10002,-7,5.000750112516878e-05,0.0005000750112516877,0.0005000750112516877,0.00015002250337550632,0.00035005250787618143
11100,AMETHYSTS,69,10001.5,9998,3,10005,-21,-0.00024996250562415637,-0.00014997750337449384,-0.00014997750337449384,-0.00014997750337449384,-0.00014997750337449384
11200,AMETHYSTS,69,9999.0,9996,2,10002,-7,0.00010001000100010001,0.00010001000100010001,0.00025002500250025,-0.00025002500250025,0.0
11300,AMETHYSTS,69,10000.0,9996,1,10004,-1,-0.0001,0.0001,0.0,-0.0001,0.0
