day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,trades,ret_5,ret_10,ret_20,ret_100,ret_200
-2,0,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0,"[('9996.0', '1'), ('9996.0', '1')]",0.0,0.0003,0.0,0.0,0.0
-2,100,AMETHYSTS,10000,5,9995.0,20.0,,,10005,20,,,,,10002.5,0.0,[],-0.00024993751562109475,-0.00014996250937265683,-0.00024993751562109475,0.0,9.997500624843789e-05
-2,200,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,0.0,[],0.0001,0.0001,0.0003,0.0,0.0003
-2,300,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,0.0,[],0.0,0.00025,0.0,0.0,0.0
-2,400,AMETHYSTS,9995,20,,,,,9998,3,10002.0,9.0,10005.0,20.0,9996.5,0.0,[],0.0003501225428900115,0.0,0.0003501225428900115,0.0002500875306357225,0.0003501225428900115
-2,500,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0,[],0.0003,0.0,-0.00035,0.0,0.0
-2,600,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0,[],0.0001,0.0,0.0,-0.0001,-0.00035
-2,700,AMETHYSTS,9998,5,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,0.0,[],0.0,-0.00024997500249975,-0.00019998000199980003,-9.999000099990002e-05,-9.999000099990002e-05
-2,800,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,0.0,[],0.00025,0.00015,0.0,0.0,0.0
-2,900,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0,[],-0.00035,0.0,0.0,0.0,-0.0003
-2,1000,AMETHYSTS,10002,1,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10003.0,0.0,[],-0.00029991002699190244,-0.00029991002699190244,0.0,-0.00029991002699190244,-0.00029991002699190244
