timestamp,symbol,alpha,mid,bid,bid_amt,ask,ask_amt
0,AMETHYSTS,69,10003.0,10002,1,10004,-2
0,STARFRUIT,69,5002.5,5002,1,5003,-31
100,AMETHYSTS,69,10000.0,9996,2,10004,-2
100,STARFRUIT,69,5000.0,4997,24,5003,-2
200,AMETHYSTS,69,10000.0,9995,20,10005,-20
200,STARFRUIT,69,5000.0,4997,2,5003,-20
300,AMETHYSTS,69,10000.0,9996,2,10004,-2
300,STARFRUIT,69,4999.5,4996,31,5003,-31
400,AMETHYSTS,69,10000.0,9996,2,10004,-2
400,STARFRUIT,69,4998.5,4995,27,5002,-27
500,AMETHYSTS,69,9998.5,9995,30,10002,-4
500,STARFRUIT,69,4999.5,4996,30,5003,-30
600,AMETHYSTS,69,10002.5,10000,5,10005,-25
600,STARFRUIT,69,5001.0,4999,5,5003,-25
700,AMETHYSTS,69,10000.0,9995,23,10005,-23
700,STARFRUIT,69,5000.0,4997,2,5003,-23
800,AMETHYSTS,69,10000.0,9996,1,10004,-1
800,STARFRUIT,69,5000.0,4997,30,5003,-1
900,AMETHYSTS,69,10000.0,9996,1,10004,-1
900,STARFRUIT,69,5000.0,4997,23,5003,-1
1000,AMETHYSTS,69,10000.0,9995,26,10005,-26
1000,STARFRUIT,69,4998.5,4996,26,5001,-6
1100,AMETHYSTS,69,10000.0,9996,2,10004,-2
1100,STARFRUIT,69,5001.0,4998,6,5004,-26
1200,AMETHYSTS,69,9996.5,9995,21,9998,-1
1200,STARFRUIT,69,4999.5,4997,21,5002,-8
1300,AMETHYSTS,69,10003.0,10002,1,10004,-1
1300,STARFRUIT,69,5000.0,4997,31,5003,-1
1400,AMETHYSTS,69,10000.0,9996,1,10004,-1
1400,STARFRUIT,69,5000.0,4997,3,5003,-26
1500,AMETHYSTS,69,10000.0,9995,27,10005,-27
1500,STARFRUIT,69,4999.5,4996,27,5003,-27
1600,AMETHYSTS,69,10000.0,9995,29,10005,-29
1600,STARFRUIT,69,4998.5,4996,29,5001,-4
1700,AMETHYSTS,69,9999.0,9996,2,10002,-1
1700,STARFRUIT,69,4999.5,4997,22,5002,-8
1800,AMETHYSTS,69,10003.0,10002,1,10004,-1
