timestamp : 0, symbol : AMETHYSTS, alpha : 69, mid : 10003.0, bid : 10002, bid_amt : 1, ask : 10004, ask_amt : -2, 
timestamp : 0, symbol : STARFRUIT, alpha : 69, mid : 5002.5, bid : 5002, bid_amt : 1, ask : 5003, ask_amt : -31,
timestamp : 100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 100, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 24, ask : 5003, ask_amt : -2,
timestamp : 200, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 20, ask : 10005, ask_amt : -20, 
timestamp : 200, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 2, ask : 5003, ask_amt : -20,
timestamp : 300, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 300, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4996, bid_amt : 31, ask : 5003, ask_amt : -31,
timestamp : 400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 400, symbol : STARFRUIT, alpha : 69, mid : 4998.5, bid : 4995, bid_amt : 27, ask : 5002, ask_amt : -27,
timestamp : 500, symbol : AMETHYSTS, alpha : 69, mid : 9998.5, bid : 9995, bid_amt : 30, ask : 10002, ask_amt : -4, 
timestamp : 500, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4996, bid_amt : 30, ask : 5003, ask_amt : -30,
timestamp : 600, symbol : AMETHYSTS, alpha : 69, mid : 10002.5, bid : 10000, bid_amt : 5, ask : 10005, ask_amt : -25, 
timestamp : 600, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4999, bid_amt : 5, ask : 5003, ask_amt : -25,
